time	whole_blood_radioactivity
433	23.31073198
434	23.99310857
435	27.8910478
436	25.56132154
437	27.52029505
438	25.12072292
439	25.26918791
440	27.29840241
441	23.88685379
442	27.73282705
443	25.59557722
444	25.00430272
445	27.37580692
446	25.90864856
447	28.28355757
448	28.02965515
449	27.10032544
450	25.49462536
451	26.92827495
452	25.79397865
453	25.53797474
454	29.14075557
455	23.87383115
456	25.9880136
457	25.59588859
458	25.88176998
459	25.96431616
460	26.79414658
461	24.8384492
462	25.80446357
463	26.77166049
464	26.31025377
465	26.59763541
466	23.95487154
467	25.33210955
468	22.95881628
469	26.24831138
470	28.58602782
471	26.41475664
472	25.67746936
473	25.82886033
474	26.25427301
475	23.80332487
476	25.59862306
477	23.48748716
478	26.51967458
479	28.45739102
480	25.58798152
481	25.60247601
482	24.99806402
483	28.65958701
484	28.19374152
485	25.52276221
486	26.3643614
487	26.31032543
488	24.11719349
489	25.85681629
490	27.32233238
491	24.84933037
492	23.61870437
493	29.03001458
494	25.58393716
495	27.05336019
496	27.13801192
497	25.41937359
498	24.04600314
499	26.69805083
500	26.15734117
501	27.56258785
502	26.67388683
503	23.97502607
504	27.26123617
505	28.1825824
506	26.59494344
507	27.02855093
508	24.81057905
509	22.59060093
510	26.51550685
511	25.13237208
512	25.49632625
513	27.05054842
514	26.01540049
515	25.53967853
516	26.04488205
517	27.46267006
518	26.14458369
519	25.17626957
520	26.10394544
521	23.86920742
522	26.7666581
523	25.93717687
524	24.96598604
525	25.47333655
526	25.91077541
527	26.06653979
528	24.66972732
529	27.86183764
530	23.77922763
531	25.41863773
532	27.76769949
533	24.88122711
534	26.17007464
535	25.54714045
536	26.34154148
537	26.21457251
538	26.51336538
539	25.46303523
540	28.32025451
541	24.92310804
542	24.22589081
543	25.30724003
544	25.74890025
545	27.26011534
546	25.27897109
547	26.3634459
548	23.73737715
549	25.60764062
550	26.26533588
551	24.85015082
552	27.65462135
553	25.73729743
554	25.32213115
555	27.5582839
556	26.28302069
557	23.14135737
558	24.66173039
559	27.54893776
560	27.42078011
561	23.55329825
562	26.08466213
563	25.88346036
564	26.8345891
565	28.43567753
566	24.70160511
567	26.15862509
568	25.37930233
569	25.61037883
570	26.7813543
571	26.4349094
572	24.8580295
573	24.72732704
574	25.32080846
575	25.9874696
576	25.34950289
577	24.78340254
578	26.97557101
579	24.59357752
580	26.49729229
581	24.25786266
582	25.07196147
583	27.19769731
584	24.0805934
585	25.18747884
586	25.42053347
587	27.77027763
588	25.88742501
